DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
61,3702100002068       ,61,00002068    8       ,0,0,1,21,Leicester           
62,3702100002069       ,62,00002069    9       ,0,0,1,21,Leicester           
63,3702100002070       ,63,00002070    0       ,0,0,1,21,Leicester           
64,3702100002071       ,64,00002071    1       ,0,0,1,21,Leicester           
65,3702100002072       ,65,00002072    2       ,0,0,1,21,Leicester           
66,3702100002073       ,66,00002073    3       ,0,0,1,21,Leicester           
67,3702100002074       ,67,00002074    4       ,0,0,1,8,Weaverville         
68,3702100002075       ,68,00002075    5       ,0,0,1,8,Weaverville         
69,3702100002101       ,69,00002101    1       ,0,0,1,2,Downtown Ashevil    
70,3702100002102       ,70,00002102    2       ,0,0,1,2,Downtown Ashevil    
71,3702100002103       ,71,00002103    3       ,0,0,1,2,Downtown Ashevil    
72,3702100002104       ,72,00002104    4       ,0,0,1,2,Downtown Ashevil    
73,3702100002105       ,73,00002105    5       ,0,0,1,2,Downtown Ashevil    
74,3702100002106       ,74,00002106    6       ,0,0,1,2,Downtown Ashevil    
75,3702100002107       ,75,00002107    7       ,0,0,1,2,Downtown Ashevil    
76,3702100002108       ,76,00002108    8       ,0,0,1,2,Downtown Ashevil    
77,3702100002109       ,77,00002109    9       ,0,0,1,2,Downtown Ashevil    
78,3702100002110       ,78,00002110    0       ,0,0,1,2,Downtown Ashevil    
79,3702100002111       ,79,00002111    1       ,0,0,1,2,Downtown Ashevil    
80,3702100002112       ,80,00002112    2       ,0,0,1,2,Downtown Ashevil    
81,3702100002113       ,81,00002113    3       ,0,0,1,2,Downtown Ashevil    
82,3702100002114       ,82,00002114    4       ,0,0,1,2,Downtown Ashevil    
83,3702100002115       ,83,00002115    5       ,0,0,1,2,Downtown Ashevil    
84,3702100002116       ,84,00002116    6       ,0,0,1,2,Downtown Ashevil    
85,3702100002117       ,85,00002117    7       ,0,0,1,2,Downtown Ashevil    
86,3702100002118       ,86,00002118    8       ,0,0,1,2,Downtown Ashevil    
87,3702100002119       ,87,00002119    9       ,0,0,1,2,Downtown Ashevil    
88,3702100002120       ,88,00002120    0       ,0,0,1,2,Downtown Ashevil    
89,3702100002121       ,89,00002121    1       ,0,0,1,2,Downtown Ashevil    
90,3702100002122       ,90,00002122    2       ,0,0,1,2,Downtown Ashevil    
91,3702100002123       ,91,00002123    3       ,0,0,1,2,Downtown Ashevil    
92,3702100002124       ,92,00002124    4       ,0,0,1,2,Downtown Ashevil    
93,3702100002125       ,93,00002125    5       ,0,0,1,2,Downtown Ashevil    
94,3702100002126       ,94,00002126    6       ,0,0,1,2,Downtown Ashevil    
95,3702100002127       ,95,00002127    7       ,0,0,1,2,Downtown Ashevil    
96,3702100002128       ,96,00002128    8       ,0,0,1,2,Downtown Ashevil    
97,3702100002129       ,97,00002129    9       ,0,0,1,2,Downtown Ashevil    
98,3702100002130       ,98,00002130    0       ,0,0,1,2,Downtown Ashevil    
99,3702100002131       ,99,00002131    1       ,0,0,1,2,Downtown Ashevil    
100,3702100002133       ,100,00002133    3       ,0,0,1,2,Downtown Ashevil    
101,3702100002134       ,101,00002134    4       ,0,0,1,2,Downtown Ashevil    
102,3702100002135       ,102,00002135    5       ,0,0,1,2,Downtown Ashevil    
103,3702100002136       ,103,00002136    6       ,0,0,1,2,Downtown Ashevil    
104,3711500007008       ,104,00007008    8       ,0,0,1,13,Hot Springs         
105,3702100002139       ,105,00002139    9       ,0,0,1,2,Downtown Ashevil    
106,3702100002140       ,106,00002140    0       ,0,0,1,2,Downtown Ashevil    
107,3702100002141       ,107,00002141    1       ,0,0,1,2,Downtown Ashevil    
108,3702100002142       ,108,00002142    2       ,0,0,1,2,Downtown Ashevil    
109,3711500007007       ,109,00007007    7       ,0,0,1,13,Hot Springs         
110,3702100002144       ,110,00002144    4       ,0,0,1,2,Downtown Ashevil    
111,3702100002146       ,111,00002146    6       ,0,0,1,2,Downtown Ashevil    
112,3702100002147       ,112,00002147    7       ,0,0,1,2,Downtown Ashevil    
113,3702100002148       ,113,00002148    8       ,0,0,1,2,Downtown Ashevil    
114,3702100002149       ,114,00002149    9       ,0,0,1,2,Downtown Ashevil    
115,3702100002150       ,115,00002150    0       ,0,0,1,2,Downtown Ashevil    
116,3711500007006       ,116,00007006    6       ,0,0,1,13,Hot Springs         
117,3702100002152       ,117,00002152    2       ,0,0,1,2,Downtown Ashevil    
118,3702100002154       ,118,00002154    4       ,0,0,1,2,Downtown Ashevil    
119,3702100002155       ,119,00002155    5       ,0,0,1,2,Downtown Ashevil    
120,3702100002156       ,120,00002156    6       ,0,0,1,2,Downtown Ashevil    
121,3702100002157       ,121,00002157    7       ,0,0,1,2,Downtown Ashevil    
122,3702100002158       ,122,00002158    8       ,0,0,1,2,Downtown Ashevil    
123,3702100002159       ,123,00002159    9       ,0,0,1,2,Downtown Ashevil    
124,3702100002160       ,124,00002160    0       ,0,0,1,2,Downtown Ashevil    
125,3702100002201       ,125,00002201    1       ,0,0,1,2,Downtown Ashevil    
126,3702100002202       ,126,00002202    2       ,0,0,1,2,Downtown Ashevil    
127,3702100002203       ,127,00002203    3       ,0,0,1,2,Downtown Ashevil    
128,3702100002204       ,128,00002204    4       ,0,0,1,2,Downtown Ashevil    
129,3702100002205       ,129,00002205    5       ,0,0,1,2,Downtown Ashevil    
130,3702100002206       ,130,00002206    6       ,0,0,1,2,Downtown Ashevil    
131,3702100002207       ,131,00002207    7       ,0,0,1,2,Downtown Ashevil    
132,3702100002208       ,132,00002208    8       ,0,0,1,2,Downtown Ashevil    
133,3702100002209       ,133,00002209    9       ,0,0,1,2,Downtown Ashevil    
134,3702100002210       ,134,00002210    0       ,0,0,1,2,Downtown Ashevil    
135,3702100002211       ,135,00002211    1       ,0,0,1,2,Downtown Ashevil    
136,3702100002212       ,136,00002212    2       ,0,0,1,2,Downtown Ashevil    
137,3702100002213       ,137,00002213    3       ,0,0,1,2,Downtown Ashevil    
138,3702100002214       ,138,00002214    4       ,0,0,1,2,Downtown Ashevil    
139,3702100002215       ,139,00002215    5       ,0,0,1,2,Downtown Ashevil    
140,3702100002216       ,140,00002216    6       ,0,0,1,2,Downtown Ashevil    
141,3702100002217       ,141,00002217    7       ,0,0,1,2,Downtown Ashevil    
142,3702100002218       ,142,00002218    8       ,0,0,1,2,Downtown Ashevil    
143,3702100002219       ,143,00002219    9       ,0,0,1,2,Downtown Ashevil    
144,3702100002220       ,144,00002220    0       ,0,0,1,4,Black Mountain      
145,3702100002221       ,145,00002221    1       ,0,0,1,2,Downtown Ashevil    
146,3702100002222       ,146,00002222    2       ,0,0,1,2,Downtown Ashevil    
147,3702100002223       ,147,00002223    3       ,0,0,1,2,Downtown Ashevil    
148,3702100002224       ,148,00002224    4       ,0,0,1,4,Black Mountain      
149,3702100002225       ,149,00002225    5       ,0,0,1,2,Downtown Ashevil    
150,3702100002226       ,150,00002226    6       ,0,0,1,4,Black Mountain      
151,3702100002227       ,151,00002227    7       ,0,0,1,2,Downtown Ashevil    
152,3702100002228       ,152,00002228    8       ,0,0,1,14,Biltmore Forest     
153,3702100002229       ,153,00002229    9       ,0,0,1,14,Biltmore Forest     
154,3702100002230       ,154,00002230    0       ,0,0,1,14,Biltmore Forest     
155,3702100002231       ,155,00002231    1       ,0,0,1,14,Biltmore Forest     
156,3702100002232       ,156,00002232    2       ,0,0,1,14,Biltmore Forest     
157,3702100002234       ,157,00002234    4       ,0,0,1,14,Biltmore Forest     
158,3702100002235       ,158,00002235    5       ,0,0,1,2,Downtown Ashevil    
159,3702100002236       ,159,00002236    6       ,0,0,1,2,Downtown Ashevil    
160,3702100002237       ,160,00002237    7       ,0,0,1,2,Downtown Ashevil    
161,3702100002238       ,161,00002238    8       ,0,0,1,14,Biltmore Forest     
162,3702100002239       ,162,00002239    9       ,0,0,1,14,Biltmore Forest     
163,3717500005003       ,163,00005003    3       ,0,0,1,25,Rosman              
164,3702100002241       ,164,00002241    1       ,0,0,1,14,Biltmore Forest     
165,3702100002242       ,165,00002242    2       ,0,0,1,14,Biltmore Forest     
166,3702100002243       ,166,00002243    3       ,0,0,1,14,Biltmore Forest     
167,3711500007005       ,167,00007005    5       ,0,0,1,13,Hot Springs         
168,3702100002245       ,168,00002245    5       ,0,0,1,14,Biltmore Forest     
169,3702100002246       ,169,00002246    6       ,0,0,1,14,Biltmore Forest     
170,3702100002247       ,170,00002247    7       ,0,0,1,14,Biltmore Forest     
171,3702100002248       ,171,00002248    8       ,0,0,1,14,Biltmore Forest     
172,3702100002249       ,172,00002249    9       ,0,0,1,14,Biltmore Forest     
173,3702100002250       ,173,00002250    0       ,0,0,1,19,Enka Candler        
174,3702100002251       ,174,00002251    1       ,0,0,1,14,Biltmore Forest     
175,3702100002252       ,175,00002252    2       ,0,0,1,19,Enka Candler        
176,3702100002253       ,176,00002253    3       ,0,0,1,19,Enka Candler        
177,3702100002254       ,177,00002254    4       ,0,0,1,19,Enka Candler        
