"","PTAZ","ATAZ","IVT","TRIPS","z"
"269",2128,322,0,4.01,"Unassigned_HBW_CBDKNR"
"9",293,709,16.36,3.57,"HBNW_WLK"
"14",409,839,24.43,3.57,"HBNW_WLK"
"17",421,663,14.97,3.57,"HBNW_WLK"
"41",695,388,47.64,3.57,"HBNW_WLK"
"42",695,425,12,3.57,"HBNW_WLK"
"73",1987,771,24.29,3.57,"HBNW_WLK"
"76",2026,771,22.31,3.57,"HBNW_WLK"
"101",1070,739,3.91,3.57,"HBW_FRGPNR"
"121",500,749,31.32,3.57,"HBW_WLK"
"124",593,2230,34.92,3.57,"HBW_WLK"
"137",695,570,37.04,3.57,"HBW_WLK"
"140",695,800,25.12,3.57,"HBW_WLK"
"204",425,663,19.98,3.57,"NHB_WLK"
"227",749,433,15.21,3.57,"NHB_WLK"
"265",1918,738,0,3.57,"Unassigned_HBW_CBDKNR"
"274",234,751,0,3.57,"Unassigned_HBW_FRGPNR"
"276",270,738,0,3.57,"Unassigned_HBW_FRGPNR"
"4",276,252,34.49,3.2,"HBNW_WLK"
"8",289,723,20.37,3.2,"HBNW_WLK"
"27",601,1948,33.24,3.2,"HBNW_WLK"
"61",881,2069,53.06,3.2,"HBNW_WLK"
"87",2191,770,21.21,3.2,"HBNW_WLK"
"235",2124,287,17.42,3.2,"NHB_WLK"
"294",832,2174,0,3.2,"Unassigned_HBW_WLK"
"301",2189,900,0,3.2,"Unassigned_HBW_WLK"
"214",695,749,1.93,3.14,"NHB_WLK"
"296",884,2185,0,3.14,"Unassigned_HBW_WLK"
"310",730,714,0,3.14,"Unassigned_NHB_WLK"
"287",147,700,0,3.05,"Unassigned_HBW_WLK"
"5",285,408,28.1,2.9,"HBNW_WLK"
"34",629,1115,51.28,2.9,"HBNW_WLK"
"49",786,770,40.03,2.9,"HBNW_WLK"
"50",808,1115,69.01,2.9,"HBNW_WLK"
"206",428,736,9.76,2.9,"NHB_WLK"
"229",836,287,24.66,2.9,"NHB_WLK"
"288",147,1056,0,2.9,"Unassigned_HBW_WLK"
"143",751,770,4.68,2.87,"HBW_WLK"
"203",410,976,67.21,2.87,"NHB_WLK"
"6",285,663,8.71,2.63,"HBNW_WLK"
"32",612,714,13.69,2.63,"HBNW_WLK"
"66",992,663,29.78,2.63,"HBNW_WLK"
"80",2132,661,15.33,2.63,"HBNW_WLK"
"120",479,737,20.67,2.63,"HBW_WLK"
"129",626,736,11.51,2.63,"HBW_WLK"
"168",957,751,40.52,2.63,"HBW_WLK"
"275",257,711,0,2.63,"Unassigned_HBW_FRGPNR"
"10",320,425,22.29,2.38,"HBNW_WLK"
"60",881,994,39.13,2.38,"HBNW_WLK"
"88",2243,429,49.84,2.38,"HBNW_WLK"
"173",1070,913,44.54,2.38,"HBW_WLK"
"182",2014,684,12.08,2.28,"HBW_WLK"
"308",694,694,0,2.28,"Unassigned_NHB_WLK"
"38",667,429,20.87,2.26,"HBNW_WLK"
"119",464,766,12.33,2.26,"HBW_WLK"
"150",814,766,23.67,2.26,"HBW_WLK"
"166",881,767,20.96,2.26,"HBW_WLK"
"43",695,663,5.98,2.16,"HBNW_WLK"
"45",695,709,4,2.16,"HBNW_WLK"
"94",393,736,3.78,2.16,"HBW_FRGPNR"
"97",785,739,3.91,2.16,"HBW_FRGPNR"
"98",923,730,3.91,2.16,"HBW_FRGPNR"
"102",1100,739,3.91,2.16,"HBW_FRGPNR"
"103",1115,738,1.98,2.16,"HBW_FRGPNR"
"248",695,711,0,2.16,"Unassigned_HBNW_WLK"
"278",426,711,0,2.16,"Unassigned_HBW_FRGPNR"
"280",496,759,0,2.16,"Unassigned_HBW_FRGPNR"
"281",899,719,0,2.16,"Unassigned_HBW_FRGPNR"
"285",2108,749,0,2.16,"Unassigned_HBW_FRGPNR"
"67",1042,836,45.14,2.09,"HBNW_WLK"
"134",649,994,29.95,2.09,"HBW_WLK"
"230",881,708,15.45,2.09,"NHB_WLK"
"290",411,410,0,2.09,"Unassigned_HBW_WLK"
"47",743,667,11.68,2.08,"HBNW_WLK"
"52",814,740,22.24,2.08,"HBNW_WLK"
"208",620,766,19.49,2.08,"NHB_WLK"
"210",655,770,14.23,2.08,"NHB_WLK"
"258",194,2163,0,2.08,"Unassigned_HBW_CBDKNR"
"293",643,552,0,2.08,"Unassigned_HBW_WLK"
"307",667,729,0,2.08,"Unassigned_NHB_WLK"
"39",693,417,20.64,2,"HBNW_WLK"
"70",1044,2141,44.59,2,"HBNW_WLK"
"89",2252,663,40.4,2,"HBNW_WLK"
"123",534,650,52.86,2,"HBW_WLK"
"156",831,2166,29.01,2,"HBW_WLK"
"164",877,1943,56.82,2,"HBW_WLK"
"175",1074,769,57.77,2,"HBW_WLK"
