"35",58040,58057,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.03,0.08,35,30,0,0,8.05,0,0,0,0,0,0,0,0,0
"36",58057,58103,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.08,0.21,36,30,0,0,8.05,0,0,0,0,0,0,0,0,0
"37",58103,58153,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.07,0.18,37,30,0,0,8.05,0,0,0,0,0,0,0,0,0
"38",58153,58151,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.01,0.02,38,30,0,0,8.05,0,0,0,0,0,0,0,0,0
"39",58151,57594,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.01,0.03,39,30,0,0,8.05,0,0,0,0,0,0,0,0,0
"40",57594,91008,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.1,0.01,40,30,0,1,8.05,0,0,0.2,0,0,0,0,0,0
"41",91008,57594,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.1,0.01,41,30,1,0,8.25,0.2,0,0,0,0,0,0,0,0
"42",57594,57379,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.01,0.02,42,30,0,0,8.25,0,0,0,0,0,0,0,0,0
"43",57379,57987,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.19,0.44,43,30,0,0,8.25,0,0,0,0,0,0,0,0,0
"44",57987,57809,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.14,0.32,44,30,0,0,8.25,0,0,0,0,0,0,0,0,0
"45",57809,57611,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.16,0.36,45,30,0,1,8.25,0,0,0.01,8.07,0,0,0,0,0
"46",57611,56952,22,2,"WS-91 EB","WS-91 Argyle-Flagler Center Commuter",0.54,1.23,46,30,1,0,0.19,0.01,8.07,0,0,0,0,0,0,0
