ID,Street Name,Route Number,COUNTY,Screenline,TIP Project,Count Station ID,2005 Count Total,AB 2005 Count,BA 2005 Count,2005 Count,FUN_CLASS,CTP_Type,CTP_CD,TERRAIN_CD,DIVIDED_CD,SPD_LIMIT,LANE_WIDTH,AB_LANES,BA_LANES,MODE,CanWalk,TruckRstr
8417,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,1,0,1   ,1,0
24236,Fairview Rd                         ,74A         ,Buncombe        ,0,         ,1000312,18240,8000,8000,16000,5,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
23982,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,       ,0,0,0,0,4,Minor Thoroughfares        ,5,3,0,40,11,1,1,1   ,1,0
23981,Charlotte Hwy                       ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,3,Boulevards                 ,3,4,2,50,12,2,2,1   ,1,0
8140,I-40 WB                             ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
8109,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,0100761,18720,18000,0,18000,7,Freeways                   ,1,4,0,55,12,2,0,1   ,1,0
8321,I-40 WB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,35,12,1,0,1   ,1,0
8056,Charlotte Hwy EB                    ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
8055,Charlotte Hwy EB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,45,12,0,1,1   ,1,0
7796,I-40                                ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
23110,I-240 EB                            ,240         ,Buncombe        ,0,         ,0100762,11172,9800,0,9800,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
23083,Fairview Rd Ramp                    ,3030        ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,25,12,1,0,1   ,1,0
23085,Fairview Rd                         ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,5,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,1
8262,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,50,12,2,0,1   ,1,0
8210,Charlotte Hwy EB                    ,74A         ,Buncombe        ,0,         ,0100763,19760,19000,0,19000,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
8240,I-240 EB                            ,240         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,3,0,1   ,1,0
8408,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,55,12,2,0,1   ,1,0
8320,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,7,Freeways                   ,1,4,0,35,12,1,0,1   ,1,0
8402,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,7,Freeways                   ,1,4,0,45,12,1,0,1   ,1,0
23087,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,35,12,0,1,1   ,1,0
23089,Charlotte Hwy EB                    ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,1,Boulevards                 ,3,4,1,50,12,2,0,1   ,1,0
7839,Charlotte Hwy WB Ramp               ,74A         ,Buncombe        ,0,         ,       ,0,0,0,0,3,Boulevards                 ,3,4,0,50,12,0,2,1   ,1,0
7954,I-40                                ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
