ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
205 , M33L12BO , RTE 12:EB                       ,31,392,45,45,45,,1.2,TAW  ,12   ,1824 ,33   
206 , M33L12BI , RTE 12:WB                       ,31,392,45,45,45,,1.2,TAW  ,12   ,1824 ,33   
207 , M33L42BO , RTE 42: EB                      ,31,392,30,30,30,,1.2,TAW  ,42   ,1936 ,33   
208 , M33L42BI , RTE 42: WB                      ,31,392,30,30,30,,1.2,TAW  ,42   ,1936 ,33   
209 , M33L55BO , RTE 55: EB                      ,31,392,30,30,30,,1.2,TAW  ,55   ,2137 ,33   
210 , M33L55BI , RTE 55: WB                      ,31,392,30,30,30,,1.2,TAW  ,55   ,2137 ,33   
211 , M33L62BO , RTE 62:WB                       ,31,392,40,40,40,,1.2,TAW  ,62   ,2030 ,33   
212 , M33L83BO , RTE 83: EB                      ,31,392,30,40,30,,1.2,TAW  ,83   ,1511 ,33   
213 , M33L83BI , RTE 83: WB                      ,31,392,30,40,30,,1.2,TAW  ,83   ,1511 ,33   
214 , M33L88BO , RTE 88:NB                       ,31,392,30,60,30,,1.2,TAW  ,88   ,1128 ,33   
215 , M33L88BI , RTE 88:SB                       ,31,392,30,60,30,,1.2,TAW  ,88   ,1128 ,33   
216 , M33L150BD , RTE C10G: FT LAUD GALT          ,31,392,55,55,55,,1.2,TAW  ,FT LA,482  ,33   
217 , M33L152BD , RTE C22C: POM BCH GREEN-WEST    ,31,392,60,60,60,,1.2,TAW  ,POMPA,482  ,33   
218 , M11L153BD , RTE C5D: DAVIE SFEC TRI-RAIL    ,12,192,30,30,30,,1.2,TAW  ,DAVIE,482  ,33   
219 , M33L154BD , RTE C24A: HALLANDALE RTE 3      ,31,392,60,60,60,,1.2,TAW  ,HALLA,482  ,33   
220 , M33L48BO , RTE 48:HILLSBORO BLVD           ,31,392,45,45,45,,1.2,SV   ,Hills,37   ,33   
221 , M33L48BI , RTE 48:HILLSBORO BLVD           ,31,392,45,45,45,,1.2,SV   ,Hills,37   ,33   
222 , M33L2BrzBI , Route 2 University Breeze:SB    ,32,351,36,50,35,6,1.2,     ,     ,     ,34   
223 , M33L2BrzBO , Route 2 Univeristy Breeze:NB,32,351,36,50,35,6,,,,,34
224 , M33L600BD , RTE COCONUT CREEK S             ,31,392,60,60,60,,1.2,     ,     ,     ,33   
225 , M33L601BD , RTE FTL NW CIRCULATOR           ,31,392,60,60,60,,1.2,     ,     ,     ,33   
226 , M33L602BD , RTE HACFL RED                   ,31,392,90,90,90,,1.2,     ,     ,     ,33   
227 , M33L603BI , RTE HACFL BLUE NB               ,31,392,90,90,90,,1.2,     ,     ,     ,33   
228 , M33L603BO , RTE HACFL BLUE SB               ,31,392,90,90,90,,1.2,     ,     ,     ,33   
229 , M33L604BD , RTE HALLANDALE BEACH 1          ,31,392,60,60,60,,1.2,     ,     ,     ,33   
